265.38,137.66,131.48,81.77,61.219,15.249,103.96,21.375,31.407,28.21,12.021,6.8675,20.801,77.183,37.195,13.902
263.44,136.42,129.8,80.235,60.197,15.373,102.21,21.151,30.966,28.037,11.783,6.8024,20.452,77.347,36.695,13.874
261.94,135.19,128.15,78.741,59.188,15.501,100.47,20.933,30.532,27.864,11.552,6.7387,20.111,77.508,36.203,13.847
260.87,133.97,126.52,77.293,58.194,15.63,98.749,20.723,30.106,27.693,11.301,6.6764,19.778,77.664,35.721,13.822
259.56,132.77,124.91,75.894,57.214,15.759,97.046,20.519,29.686,27.523,11.146,6.6156,19.453,77.816,35.247,13.797
260.37,131.59,123.33,74.55,56.248,15.889,95.361,20.323,29.274,27.354,10.998,6.5561,19.136,77.962,34.782,13.774
261.1,130.42,121.78,73.263,55.296,16.017,93.694,20.132,28.868,27.185,10.858,6.498,18.825,78.102,34.326,13.752
261.75,129.26,120.25,72.032,54.357,16.142,92.046,19.949,28.469,27.018,10.724,6.4413,18.521,78.235,33.878,13.732
262.33,128.12,118.74,70.855,53.432,16.265,90.417,19.772,28.078,26.852,10.597,6.3859,18.224,78.362,33.439,13.712
262.84,126.99,117.26,69.73,52.521,16.383,88.807,19.601,27.693,26.686,10.476,6.3318,17.934,78.48,33.008,13.694
263.27,125.88,115.8,68.655,51.623,16.496,87.217,19.437,27.315,26.522,10.361,6.279,17.651,78.59,32.585,13.677
263.64,124.64,114.37,67.627,50.738,16.602,85.647,19.279,26.945,26.359,10.252,6.2276,17.374,78.691,32.171,13.661
263.93,123.76,112.96,66.645,49.866,16.701,84.098,19.127,26.569,26.196,10.148,6.1773,17.104,78.782,31.764,13.646
264.16,122.89,111.57,65.706,49.008,16.792,82.569,18.982,26.305,26.035,10.05,6.1284,16.84,78.863,31.365,13.633
264.31,122.03,110.2,64.808,48.162,16.874,81.062,18.842,26.045,25.874,9.9567,6.0807,16.582,78.933,30.974,13.62
264.41,121.17,109.07,63.95,47.33,16.945,79.575,18.708,25.792,25.715,9.8681,6.0342,16.33,78.992,30.591,13.609
264.43,120.33,107.97,63.128,46.51,17.005,78.111,18.58,25.543,25.556,9.7839,5.989,16.085,79.038,30.216,13.599
264.39,119.48,106.88,62.341,45.703,17.052,76.668,18.458,25.298,25.399,9.7038,5.9449,15.846,79.071,29.848,13.59
264.29,118.65,105.81,61.587,44.908,17.087,75.248,18.342,25.058,25.242,9.6277,5.9021,15.612,79.091,29.487,13.582
264.13,117.82,104.77,60.864,44.126,17.107,73.851,18.231,24.822,25.086,9.5551,5.8603,15.385,79.097,29.134,13.575
263.9,117,103.74,60.169,43.357,17.111,72.476,18.125,24.589,24.932,9.486,5.8198,15.163,79.089,28.788,13.569
263.62,116.18,102.73,59.5,42.599,17.1,71.125,18.026,24.359,24.778,9.4199,5.7804,14.946,79.065,28.449,13.564
263.28,115.37,101.74,58.856,41.854,17.071,69.798,17.931,24.132,24.625,9.3566,5.7421,14.736,79.025,28.117,13.56
262.88,114.57,100.77,58.234,41.121,17.023,68.495,17.842,23.907,24.473,9.2958,5.7049,14.53,78.969,27.792,13.557
